Date,Close,Open,High,Low,Volume,Change_pct
14.2.2023,134.24,140.5,143,133.8,286180,-3.35%
13.2.2023,138.9,139.6,140.38,137,334400,0.19%
10.2.2023,138.64,140.68,141.1,136.18,795940,-2.01%
9.2.2023,141.48,143,143.66,141.1,143710,-0.16%
8.2.2023,141.7,142.56,145.4,141.52,185100,0.30%
7.2.2023,141.28,141.98,141.98,136.02,324220,-0.90%
6.2.2023,142.56,145.6,145.94,141.32,263530,-2.89%
3.2.2023,146.8,146.98,148.54,144.56,471930,0.70%
2.2.2023,145.78,141.5,148.16,140.14,574700,5.42%
1.2.2023,138.28,139.5,141.84,137.18,353200,-0.75%
31.1.2023,139.32,134.24,140.32,133,674470,4.91%
30.1.2023,132.8,133.5,134,131.2,321850,-0.82%
27.1.2023,133.9,135,136.42,133.4,123920,-0.56%
26.1.2023,134.66,133.36,135.6,132.54,142430,2.39%
25.1.2023,131.52,133,133.38,131,131580,-1.79%
24.1.2023,133.92,135.7,137.3,132.9,225860,-1.31%
23.1.2023,135.7,132.54,135.98,132.54,258890,2.40%
20.1.2023,132.52,132.9,134.6,131.6,191740,0.02%
19.1.2023,132.5,131.18,134.5,130.12,299000,-0.59%
18.1.2023,133.28,129.22,134.8,129.22,327120,3.00%
17.1.2023,129.4,129,131.16,127.2,246420,0.45%
16.1.2023,128.82,133,133.4,128.82,280500,-2.51%
13.1.2023,132.14,130.2,134.2,130.08,289520,1.69%
12.1.2023,129.94,135.7,135.8,128.66,845560,-4.29%
11.1.2023,135.76,138.34,139.38,134.3,460250,-1.74%
10.1.2023,138.16,132.26,138.64,131.5,340650,3.30%
9.1.2023,133.74,132.6,136,131.3,506010,0.89%
5.1.2023,132.56,127.2,134.12,127.1,553370,3.97%
4.1.2023,127.5,130.6,130.6,126.7,448470,-1.16%
3.1.2023,129,130,132.08,128.2,442440,-0.26%
2.1.2023,129.34,129,131.74,128.66,154160,-0.23%
30.12.2022,129.64,128,130.38,128,156060,0.61%
29.12.2022,128.86,126,129.3,126,156600,2.53%
28.12.2022,125.68,127,128.96,125.52,241390,-1.07%
27.12.2022,127.04,130,130,126.84,145360,-1.75%
23.12.2022,129.3,127.2,130.5,125.82,188310,1.73%
22.12.2022,127.1,130,130.64,126.82,191800,-2.31%
21.12.2022,130.1,128,130.74,127.82,214300,1.64%
